Date,Volume,Close/Last,Open,High,Low
7/24/2020,39826990,201.3,200.42,202.86,197.51
7/23/2020,67457040,202.54,207.19,210.92,202.15
7/22/2020,49605690,211.75,209.2,212.3,208.39
7/21/2020,38105780,208.75,213.66,213.94,208.03
7/20/2020,36884840,211.6,205,212.3,203.01
7/17/2020,31635280,202.88,204.47,205.04,201.39
7/16/2020,29940650,203.92,205.4,205.7,202.31
7/15/2020,32179410,208.04,209.56,211.33,205.03
7/14/2020,37591820,208.35,206.13,208.85,202.03
7/13/2020,38135610,207.07,214.48,215.8,206.5
7/10/2020,26177630,213.67,213.62,214.08,211.08
7/9/2020,33121680,214.32,216.33,216.38,211.47
7/8/2020,33600030,212.83,210.07,213.26,208.69
7/7/2020,33600730,208.25,210.45,214.67,207.99
7/6/2020,31897630,210.7,208.83,211.13,208.09
7/2/2020,29315760,206.26,205.68,208.02,205
7/1/2020,32061210,204.7,203.14,206.35,201.77
6/30/2020,34310280,203.51,197.88,204.4,197.74
6/29/2020,26701590,198.44,195.78,198.53,193.55
6/26/2020,54675780,196.33,199.73,199.89,194.88
6/25/2020,27803930,200.34,197.8,200.61,195.47
6/24/2020,36740650,197.84,201.6,203.25,196.56
6/23/2020,30917450,201.91,202.09,203.95,201.43
6/22/2020,32818930,200.57,195.79,200.76,195.23
6/19/2020,44441140,195.15,198.59,199.29,194.37
6/18/2020,23061650,196.32,194,196.49,194
6/17/2020,25687820,194.24,195.03,196.32,193.69
6/16/2020,42556660,193.57,192.89,195.58,191.46
6/15/2020,32770190,188.94,184.58,190.82,184.01
6/12/2020,43373590,187.74,190.54,191.72,185.18
6/11/2020,52854670,186.27,193.13,195.76,186.07
6/10/2020,43872330,196.84,191.13,198.52,191.01
6/9/2020,29783920,189.8,188,190.7,187.26
6/8/2020,33211590,188.36,185.94,188.55,184.44
6/5/2020,39893640,187.2,182.62,187.73,182.01
6/4/2020,28761810,182.92,184.3,185.84,182.3
6/3/2020,27311020,185.36,184.82,185.94,183.58
6/2/2020,30794590,184.91,184.25,185,181.35
6/1/2020,22668820,182.83,182.54,183,181.46
5/29/2020,42146720,183.25,182.73,184.27,180.41
5/28/2020,33831820,181.4,180.74,184.15,180.38
5/27/2020,39517150,181.81,180.2,181.99,176.6
5/26/2020,36073610,181.57,186.34,186.5,181.1
5/22/2020,20826900,183.51,183.19,184.46,182.54
5/21/2020,29119510,183.43,185.4,186.67,183.29
5/20/2020,31261330,185.66,184.81,185.85,183.94
5/19/2020,26799120,183.63,185.03,186.6,183.49
5/18/2020,35306620,184.91,185.75,186.2,183.96
5/15/2020,46610380,183.16,179.06,187.06,177
5/14/2020,41873910,180.53,177.54,180.69,175.68
5/13/2020,44711490,179.75,182.55,184.05,176.54
5/12/2020,32038200,182.51,186.8,187.04,182.3
5/11/2020,30892660,186.74,183.15,187.51,182.85
5/8/2020,30912640,184.68,184.98,185,183.36
5/7/2020,28315990,183.6,184.17,184.55,182.58
5/6/2020,32139300,182.54,182.08,184.2,181.63
5/5/2020,36839170,180.76,180.62,183.65,179.9
5/4/2020,30372860,178.84,174.49,179,173.8
5/1/2020,39370470,174.57,175.8,178.64,174.01
4/30/2020,53875860,179.21,180,180.4,176.23
4/29/2020,51286560,177.43,173.22,177.68,171.88
4/28/2020,34392690,169.81,175.59,175.67,169.39
4/27/2020,33194380,174.05,176.59,176.9,173.3
4/24/2020,34305320,174.55,172.06,174.56,170.71
4/23/2020,32790800,171.42,174.11,175.06,170.91
4/22/2020,34651600,173.52,171.39,174,170.82
4/21/2020,56203750,167.82,173.5,173.67,166.11
4/20/2020,36669560,175.06,176.63,178.75,174.99
4/17/2020,52765630,178.6,179.5,180,175.87
4/16/2020,50479610,177.04,174.3,177.28,172.9
4/15/2020,40940830,171.88,171.2,173.57,169.24
4/14/2020,52874340,173.7,169,173.75,168
4/13/2020,41905260,165.51,164.35,165.57,162.3
4/9/2020,51431780,165.14,166.36,167.37,163.33
4/8/2020,48318230,165.13,165.67,166.67,163.5
4/7/2020,62769040,163.49,169.59,170,163.26
4/6/2020,67111700,165.27,160.32,166.5,157.58
4/3/2020,41243280,153.83,155.1,157.38,152.19
4/2/2020,49630740,155.26,151.86,155.48,150.36
4/1/2020,57969930,152.11,153,157.75,150.82
3/31/2020,77927190,157.71,159.4,164.78,156.56
3/30/2020,63420330,160.23,152.44,160.6,150.01
3/27/2020,57042290,149.7,151.75,154.89,149.2
3/26/2020,64694430,156.11,148.4,156.66,148.37
3/25/2020,75638220,146.92,148.91,154.33,144.44
3/24/2020,82516730,148.34,143.75,149.6,141.27
3/23/2020,78975180,135.98,137.01,140.57,132.52
3/20/2020,84866220,137.35,146,147.1,135.86
3/19/2020,85922660,142.71,142.77,150.15,139
3/18/2020,81593170,140.4,138,146,135.02
3/17/2020,81059820,146.57,140,147.5,135
3/16/2020,87905870,135.42,140,149.35,135
3/13/2020,92727450,158.83,147.5,161.91,140.73
3/12/2020,93226370,139.06,145.3,153.47,138.58
3/11/2020,56504300,153.63,157.13,157.7,151.15
3/10/2020,65354390,160.92,158.16,161.03,152.58
3/9/2020,70419270,150.62,151,157.75,150
3/6/2020,72821060,161.57,162.61,163.11,156
3/5/2020,47817250,166.27,166.05,170.87,165.69
3/4/2020,49814380,170.55,168.49,170.7,165.62
3/3/2020,71677020,164.51,173.8,175,162.26
3/2/2020,71030810,172.79,165.31,172.92,162.31
2/28/2020,97073560,162.01,152.41,163.71,152
2/27/2020,93174910,158.18,163.32,167.03,157.98
2/26/2020,56387150,170.17,169.71,173.26,168.21
2/25/2020,68073300,168.07,174.2,174.84,167.65
2/24/2020,68311070,170.89,167.77,174.55,163.23
2/21/2020,48600390,178.59,183.17,183.5,177.25
2/20/2020,36862380,184.42,186.95,187.25,181.1
2/19/2020,29997470,187.28,188.06,188.18,186.47
2/18/2020,27853110,187.23,185.61,187.7,185.5
2/14/2020,23149520,185.35,183.25,185.41,182.65
2/13/2020,35295830,183.71,183.08,186.23,182.87
2/12/2020,47062920,184.71,185.58,185.85,181.85
2/11/2020,53159910,184.44,190.65,190.7,183.5
2/10/2020,35844270,188.7,183.58,188.84,183.25
2/7/2020,33529070,183.89,182.85,185.63,182.48
2/6/2020,27751380,183.63,180.97,183.82,180.06
2/5/2020,39186320,179.9,184.03,184.2,178.41
2/4/2020,36433340,180.12,177.14,180.64,176.31
2/3/2020,30149050,174.38,170.43,174.5,170.4
1/31/2020,36142690,170.23,172.21,172.4,169.58
1/30/2020,51597470,172.78,174.05,174.05,170.79
1/29/2020,35127770,168.04,167.84,168.75,165.69
1/28/2020,24899940,165.46,163.78,165.76,163.07
1/27/2020,32078070,162.28,161.15,163.38,160.2
1/24/2020,24918120,165.04,167.51,167.53,164.45
1/23/2020,19680770,166.72,166.19,166.8,165.27
1/22/2020,24138780,165.7,167.4,167.49,165.68
1/21/2020,29517190,166.5,166.68,168.19,166.43
1/17/2020,34371660,167.1,167.42,167.47,165.43
1/16/2020,23865360,166.17,164.35,166.24,164.03
1/15/2020,21417870,163.18,162.62,163.94,162.57
1/14/2020,23500780,162.13,163.39,163.6,161.72
1/13/2020,21637010,163.28,161.76,163.31,161.26
1/10/2020,20733950,161.34,162.82,163.22,161.18
1/9/2020,21399950,162.09,161.84,162.22,161.03
1/8/2020,27762030,160.09,158.93,160.8,157.95
1/7/2020,21881740,157.58,159.32,159.67,157.32
1/6/2020,20826700,159.03,157.08,159.1,156.51
1/3/2020,21121680,158.62,158.32,159.95,158.06
1/2/2020,22634550,160.62,158.78,160.73,158.33
12/31/2019,18393380,157.7,156.77,157.77,156.45
12/30/2019,16356720,157.59,158.99,159.02,156.73
12/27/2019,18414350,158.96,159.45,159.55,158.22
12/26/2019,14526930,158.67,157.56,158.73,157.4
12/24/2019,8989150,157.38,157.48,157.71,157.12
12/23/2019,17726280,157.41,158.12,158.12,157.27
12/20/2019,53599610,157.41,157.35,158.49,156.29
12/19/2019,25813830,155.71,154,155.77,153.75
12/18/2019,24132380,154.37,154.3,155.48,154.18
12/17/2019,25443530,154.69,155.45,155.71,154.45
12/16/2019,24152770,155.53,155.11,155.9,154.82
12/13/2019,23850060,154.53,153,154.89,152.83
12/12/2019,24645370,153.24,151.65,153.44,151.02
12/11/2019,18860000,151.7,151.54,151.87,150.33
12/10/2019,16481060,151.13,151.29,151.89,150.77
12/9/2019,16741350,151.36,151.07,152.21,150.91
12/6/2019,16410400,151.75,150.99,151.87,150.27
12/5/2019,17880600,149.93,150.05,150.32,149.48
12/4/2019,17580620,149.85,150.14,150.18,149.2
12/3/2019,25192150,149.31,147.49,149.43,146.65
12/2/2019,27473620,149.55,151.81,151.83,148.32
11/29/2019,11977300,151.38,152.1,152.3,151.28
11/27/2019,15201290,152.32,152.33,152.5,151.52
11/26/2019,24635100,152.03,151.36,152.42,151.32
11/25/2019,22428590,151.23,150,151.35,149.92
11/22/2019,15841680,149.59,150.07,150.3,148.82
11/21/2019,18576080,149.48,149.4,149.8,148.5
11/20/2019,25720060,149.62,150.31,150.84,148.46
11/19/2019,23960160,150.39,150.88,151.33,150.2
11/18/2019,21554760,150.34,150.07,150.55,148.98
11/15/2019,23508810,149.97,148.93,149.99,148.27
11/14/2019,19755100,148.06,147.02,148.41,147
11/13/2019,17444230,147.31,146.74,147.46,146.28
11/12/2019,18648710,147.07,146.28,147.57,146.06
11/11/2019,14370180,146.11,145.34,146.42,144.73
11/8/2019,16752940,145.96,143.98,145.99,143.76
11/7/2019,17786720,144.26,143.84,144.88,143.77
11/6/2019,16575800,144.06,144.37,144.52,143.2
11/5/2019,18250170,144.46,144.97,145.02,143.91
11/4/2019,16912000,144.55,144.83,145,144.16
11/1/2019,33128370,143.72,144.26,144.42,142.97
10/31/2019,24605140,143.37,144.9,144.93,142.99
10/30/2019,18496590,144.61,143.52,145,142.79
10/29/2019,20589470,142.83,144.08,144.5,142.65
10/28/2019,35280140,144.19,144.4,145.67,143.51
10/25/2019,25959720,140.73,139.34,141.14,139.2
10/24/2019,37278400,139.94,139.39,140.42,138.67
10/23/2019,31380310,137.24,136.88,137.45,135.61
10/22/2019,27935270,136.37,138.97,140.01,136.26
10/21/2019,20716040,138.43,138.45,138.5,137.01
10/18/2019,32284430,137.41,139.76,140,136.56
10/17/2019,22102800,139.69,140.95,141.42,139.02
10/16/2019,20841690,140.41,140.79,140.99,139.53
10/15/2019,19917760,141.58,140.06,141.79,139.81
10/14/2019,13591640,139.55,139.69,140.29,139.52
10/11/2019,25551070,139.68,140.12,141.03,139.5
10/10/2019,18396610,139.1,138.49,139.67,138.25
10/9/2019,20178480,138.24,137.46,138.7,136.97
10/8/2019,26783340,135.67,137.08,137.76,135.62
10/7/2019,16601280,137.12,137.14,138.18,137.02
10/4/2019,23839550,138.12,136.75,138.25,136.42
10/3/2019,26379800,136.28,134.95,136.75,133.22
10/2/2019,32001760,134.65,136.25,136.37,133.58
10/1/2019,22581930,137.07,139.66,140.25,137
9/30/2019,18430390,139.03,138.05,139.22,137.78
9/27/2019,22498960,137.73,140.15,140.36,136.65
9/26/2019,17813510,139.54,139.44,140.18,138.44
9/25/2019,22544050,139.36,137.5,139.96,136.03
9/24/2019,30016670,137.38,140.36,140.69,136.88
9/23/2019,17408370,139.14,139.23,139.63,138.44
9/20/2019,40040770,139.44,141.01,141.65,138.25
9/19/2019,36095410,141.07,140.3,142.37,140.07
9/18/2019,24473390,138.52,137.36,138.67,136.53
9/17/2019,17976290,137.39,136.96,137.52,136.43
9/16/2019,16731440,136.33,135.83,136.7,135.66
9/13/2019,23363060,137.32,137.78,138.06,136.57
9/12/2019,27009980,137.52,137.85,138.42,136.87
9/11/2019,24726120,136.12,135.91,136.27,135.09
9/10/2019,28903380,136.08,136.8,136.89,134.51
9/9/2019,25773930,137.52,139.59,139.75,136.46
9/6/2019,20824500,139.1,140.03,140.18,138.2
9/5/2019,26119520,140.05,139.11,140.38,138.76
9/4/2019,18015310,137.63,137.3,137.69,136.48
9/3/2019,18880770,136.04,136.61,137.2,135.7
8/30/2019,23946120,137.86,139.15,139.18,136.27
8/29/2019,20179720,138.12,137.25,138.44,136.91
8/28/2019,17410830,135.56,134.88,135.76,133.55
8/27/2019,23115640,135.74,136.39,136.72,134.66
8/26/2019,20325270,135.45,134.99,135.56,133.9
8/23/2019,38515390,133.39,137.19,138.35,132.8
8/22/2019,18709660,137.78,138.66,139.2,136.29
8/21/2019,14982310,138.79,138.55,139.49,138
8/20/2019,21189000,137.26,138.21,138.71,137.24
8/19/2019,24370540,138.41,137.86,138.55,136.89
8/16/2019,25026150,136.13,134.88,136.46,134.72
8/15/2019,28125420,133.68,134.39,134.58,132.25
8/14/2019,32527250,133.98,136.36,136.92,133.67
8/13/2019,25496590,138.6,136.05,138.8,135
8/12/2019,20484350,135.79,137.07,137.86,135.24
8/9/2019,23466700,137.71,138.61,139.38,136.46
8/8/2019,27496510,138.89,136.6,138.99,135.93
8/7/2019,33414540,135.28,133.79,135.65,131.83
8/6/2019,32696650,134.69,133.8,135.68,133.21
8/5/2019,42749550,132.21,133.3,133.93,130.78
8/2/2019,30791620,136.9,138.09,138.32,135.26
8/1/2019,40557500,138.06,137,140.94,136.93
7/31/2019,38598790,136.27,140.33,140.49,135.08
7/30/2019,16846530,140.35,140.14,141.22,139.8
7/29/2019,16605870,141.03,141.5,141.51,139.37
7/26/2019,19037600,141.34,140.37,141.68,140.3
7/25/2019,18356880,140.19,140.43,140.61,139.32
7/24/2019,20738280,140.72,138.9,140.74,138.85
7/23/2019,18034590,139.29,139.76,139.99,138.03
7/22/2019,25080760,138.43,137.41,139.19,137.33
7/19/2019,48992360,136.62,140.22,140.67,136.45
7/18/2019,30808710,136.42,135.55,136.62,134.67
7/17/2019,20210960,136.27,137.7,137.93,136.22
7/16/2019,22726130,137.08,138.96,139.05,136.52
7/15/2019,16651460,138.9,139.44,139.54,138.46
7/12/2019,18936830,138.9,138.85,139.13,138.01
7/11/2019,22327940,138.4,138.2,139.22,137.87
7/10/2019,24204360,137.85,137.13,138.58,137.02
7/9/2019,19953100,136.46,136,136.97,135.8
7/8/2019,16779750,136.96,136.4,137.1,135.37
7/5/2019,18141140,137.06,135.94,137.33,135.72
7/3/2019,13629300,137.46,136.8,137.74,136.3
7/2/2019,15237840,136.58,136.12,136.59,135.34
7/1/2019,22654160,135.68,136.63,136.7,134.97
6/28/2019,30042970,133.96,134.57,134.6,133.16
6/27/2019,16557480,134.15,134.14,134.71,133.51
